Customer Field,Vendor Field,Cosine Similarity
Primary Payer Denial Date - Submitted,Paid_Date,0.417
Other Payer Amount Paid - Submitted,Plan_Paid_Amount,0.5123
Ingredient Cost - Calculated,Formulary,0.4863
Dispensing Fee - Calculated,Total_Billed_Amount,0.5368
Percentage Sales Tax - Calculated,Total_Billed_Amount,0.2775
Flat Sales Tax - Calculated ,Total_Billed_Amount,0.3173
Total Sales Tax - Calculated,Total_Billed_Amount,0.3624
Member Pay Amount - Calculated ,Member_Total_Paid_Amount,0.8122
Total Amount Due - Calculated ,Total_Billed_Amount,0.6376
Withhold Amount - Calculated,Total_Billed_Amount,0.4553
Flat Copay Amount - Calculated ,Total_Billed_Amount,0.5427
Coinsurance Amount - Calculated,Plan_Paid_Amount,0.4669
Total Copay Amount - Calculated,Total_Billed_Amount,0.5835
Product Selection Amount - Calculated,Quantity,0.415
Sales Tax Amount - Calculated ,Total_Billed_Amount,0.3507
Amount that Exceeds Benefit Maximum - Calculated ,Plan_Paid_Amount,0.4776
Incentive Fee Amount - Calculated ,Member_Total_Paid_Amount,0.4545
Deductible Amount Applied - Calculated ,Member_Deductible,0.551
Total Coordination of Benefits Amount - Calculated,Plan_Paid_Amount,0.4866
Other Payer Amount Recognized - Calculated ,Total_Billed_Amount,0.5541
Cost Source Code - Calculated ,Member_Other_Cost,0.3673
Ingredient Cost - Approved ,Prescription_No,0.3553
Dispensing Fee - Approved,Prescriber_Name,0.4452
Pharmacy Percentage Sales Tax - Approved,Pharmacy_Type,0.5037
Pharmacy Flat Sales Tax - Approved,Pharmacy_Type,0.5222
Total Sales Tax - Approved,Total_Billed_Amount,0.3494
Member Pay Amount - Approved ,Member_Total_Paid_Amount,0.6766
Total Amount Due - Approved ,Total_Billed_Amount,0.5624
Withhold Amount - Approved,Plan_Paid_Amount,0.3752
Pharmacy Price Schedule Used - Approved ,Pharmacy_Type,0.5801
Pharmacy Price Schedule Table - Approved,Pharmacy_Type,0.5756
Pharmacy Member Pay Schedule - Approved ,Pharmacy_Type,0.5025
Pharmacy Member Pay Schedule Table - Approved ,Pharmacy_Type,0.5168
Pharmacy Copay Schedule Used - Approved,Date_Prescription_Filled,0.5666
Pharmacy Copay Schedule Step - Approved,Date_Prescription_Filled,0.4807
Flat Copay Amount - Approved,Plan_Paid_Amount,0.4659
Coinsurance Amount - Approved,Plan_Paid_Amount,0.4378
Total Copay Amount - Approved,Plan_Paid_Amount,0.5144
Product Selection Amount - Approved,Quantity,0.4096
Member Sales Tax Amount - Approved,Member_Deductible,0.5008
Amount that Exceeds Benefit Maximum - Approved,Plan_Paid_Amount,0.3922
Incentive Fee Amount - Approved,Member_Total_Paid_Amount,0.3405
Deductible Amount - Approved,Member_Deductible,0.6269
Total Coordination of Benefits Amount - Approved,Plan_Paid_Amount,0.4831
Other Payer Amount Recognized - Approved,Plan_Paid_Amount,0.4574
Cost Source Code - Approved,Member_Other_Cost,0.3909
Cost Type - Approved,Member_Other_Cost,0.3916
Price Type - Approved,Brand_Generic,0.454
Pricing Code - Client,Member_Other_Cost,0.4559
Ingredient Cost - Client,Member_Other_Cost,0.4135
Dispensing Fee - Client,Total_Billed_Amount,0.4389
Total Sales Tax - Client,Total_Billed_Amount,0.4558
Member Pay Amount - Client ,Member_Total_Paid_Amount,0.7062
Total Amount - Client,Total_Billed_Amount,0.6885
Withhold Amount - Client,Total_Billed_Amount,0.3854
Price Schedule Used - Client,Total_Billed_Amount,0.4471
Price Schedule Table Used - Client,Total_Billed_Amount,0.4208
Member Pay Schedule Used - Client,Member_Total_Paid_Amount,0.5678
Member Pay Schedule Table Used - Client,Member_Total_Paid_Amount,0.576
Copay Schedule Used - Client,Plan_Paid_Amount,0.4835
Copay Schedule Step Used - Client,Plan_Paid_Amount,0.5017
Flat Copay Amount - Client,Total_Billed_Amount,0.5032
Coinsurance Amount - Client,Plan_Paid_Amount,0.4439
Total Copay Amount - Client,Total_Billed_Amount,0.5952
Product Selection Amount - Client,Quantity,0.4164
Percentage Sales Tax - Client,Total_Billed_Amount,0.3337
Flat Sales Tax - Client,Total_Billed_Amount,0.2794
Total Sales Tax (Member Pay) - Client,Member_Total_Paid_Amount,0.5353
Amount that Exceeds Benefit Maximum - Client,Plan_Paid_Amount,0.406
Incentive Fee Amount - Client,Member_Total_Paid_Amount,0.3897
Deductible Amount - Client,Member_Deductible,0.6548
Coordination of Benefits Total Amount - Client,Total_Billed_Amount,0.4481
Other Payer Amount Recognized - Client,Total_Billed_Amount,0.4695
Cost Source Code - Client ,Member_Other_Cost,0.4334
Cost Type - Client ,Member_Other_Cost,0.5215
Price Type - Client,Member_Other_Cost,0.4217
Basis of Reimbursement Determination - Response,Plan_Paid_Amount,0.3933
Ingredient Cost - Response,Formulary,0.3765
Dispensing Fee - Response,Total_Billed_Amount,0.399
Percentage Sales Tax - Response,Member_Deductible,0.2424
Flat Sales Tax - Response,Member_Deductible,0.2074
Total Sales Tax - Response,Total_Billed_Amount,0.312
Member Pay Amount - Response,Member_Total_Paid_Amount,0.7357
Total Amount Paid - Response,Total_Billed_Amount,0.6443
Flat Copay Amount - Response,Plan_Paid_Amount,0.4709
Coinsurance Amount - Response,Plan_Paid_Amount,0.4434
Total Copay Amount - Response,Total_Billed_Amount,0.5332
Product Selection Amount - Response ,Quantity,0.4851
Member Sales Tax Amount - Response,Member_Deductible,0.4971
Amount that Exceeds Benefit Maximum - Response,Plan_Paid_Amount,0.4444
Incentive Fee Amount - Response,Plan_Paid_Amount,0.3759
Deductible Amount - Response,Member_Deductible,0.6094
Other Payer Amount Recognized - Response,Plan_Paid_Amount,0.4517
Accumulated Deductible Amount - Response,Member_Deductible,0.5269
Remaining Benefit Amount - Response,Plan_Paid_Amount,0.5147
Remaining Deductible Amount - Response,Member_Deductible,0.5009
Accumulated Individual Deductible Period to Date,Member_Deductible,0.4274
Remaining Individual Deductible Amount,Member_Deductible,0.51
Accumulated Family Deductible Period to Date,Member_Deductible,0.4304
Remaining Family Deductible Amount,Member_Deductible,0.4789
Deductible Schedule Code ,Member_Deductible,0.5308
Deductible Accumulation  Code,Member_Deductible,0.573
Deductible Flag,Member_Deductible,0.6118
Individual Lifetime Benefit Maximum Amount Used,Plan_Paid_Amount,0.3172
Accumulated Individual Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.3076
Remaining Individual Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.2987
Family Lifetime Benefit Maximum Amount Used,Plan_Paid_Amount,0.2795
Accumulated Family Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.2836
Remaining Family Lifetime Benefit Maximum Amount,Plan_Paid_Amount,0.2722
Lifetime Benefit Maximum Schedule Code ,Plan_Paid_Amount,0.3688
Lifetime Benefit Maximum Accumulation Code,Plan_Paid_Amount,0.3511
Lifetime Benefit Maximum Flag,Member_Deductible,0.3097
Individual Benefit Maximum Amount Used,Plan_Paid_Amount,0.4032
Accumulated Individual Benefit Maximum Amount,Plan_Paid_Amount,0.3871
Family Benefit Maximum Amount Used,Plan_Paid_Amount,0.314
Accumulated Family Benefit Maximum Amount,Plan_Paid_Amount,0.3164
Remaining Individual Benefit Maximum Amount,Plan_Paid_Amount,0.3982
Remaining Family Benefit Maximum Amount,Plan_Paid_Amount,0.326
Benefit Maximum Schedule Code ,Plan_Paid_Amount,0.4224
Benefit Maximum Accumulation Code,Plan_Paid_Amount,0.369
Benefit Maximum Flag,Member_Deductible,0.2647
Accumulated Individual Out of Pocket Amount,Plan_Paid_Amount,0.5119
Accumulated Family Out of Pocket Amount,Plan_Paid_Amount,0.4774
Remaining Individual Out of Pocket Amount,Plan_Paid_Amount,0.5166
Remaining Family Out of Pocket Amount,Plan_Paid_Amount,0.4835
Out of Pocket Maximum Schedule Code,Plan_Paid_Amount,0.4663
Out of Pocket Accumulation Code,Plan_Paid_Amount,0.4562
Out of Pocket Flag,Member_Deductible,0.2129
Payment Reimbursement Code,Total_Billed_Amount,0.4767
Claim Origination Flag,Original_Claim,0.515
Add System User ID,Claim ID,0.3898
"Change System User ID

",Claim ID,0.355
Direct Member Reimbursement (DMR) System User ID,Member_Deductible,0.522
Add System User ID - Prior Authorization (PA),Claim ID,0.36
Claim Reference Identification Number for Workers' Compensation - Pharmacy Submitted,Claim ID,0.5708
Explanation of Benefits (EOB) Denial Override Code,Member_Deductible,0.3399
Manual Pharmacy Claim Tracking Number,Pharmacy_Name,0.484
Manual Pharmacy Claim Received Date,Date_Prescription_Filled,0.6325
Health Insurance Market (HIM) Status,Patient_State,0.3371
Deliquency Handling Code,Member_Deductible,0.2532
Deliquency Resolved Code,Patient_Zip_code,0.2923
Price Schedule Type,Paid_Date,0.4033
Secondary Claim Code,Claim ID,0.5926
Plan Product Type,Plan_Paid_Amount,0.3896
Prorate Copay Indicator,Plan_Paid_Amount,0.5304
Client Code,Patient_City,0.3409
Formulary Tier,Formulary,0.6449
Formulary Tier-Final,Formulary,0.6307
Cost Share Code,Member_Other_Cost,0.4872
Cost Share Code-Final,Member_Other_Cost,0.4807
Plan Sponsor Pricing Detail,Plan_Paid_Amount,0.4874
Benefit Selection Cost Indicator,Member_Other_Cost,0.4124
New Drug Application (NDA) Product Override,Pharmacy_Type,0.3686
Biologic License Application (BLA) Flag,Pharmacy_Type,0.3143
Biologic License Application (BLA) Override,Pharmacy_Type,0.2857
Applied Accumulator Records Indicator,Record Number,0.4271
Considered Met Accumulator Records Indicator,Record Number,0.3961
Drug Cost Reduction Extract Records Indicator,Pharmacy_Type,0.4403
Eligibility Redirect Indicator,Claim ID,0.319
Point of Sale Rebate Flag,Member_Deductible,0.3293
Network Contract Type Code,In-Out_Network,0.4492
Patient Assistance Program Claim Designation Flag,Claim ID,0.3931
Biosimilar Rating,Drug_Strength,0.2736
Biosimilar Override,Brand_Generic,0.2982
Low Income Cost-Sharing Subsidy (LICS) Copay Category Code,Member_Deductible,0.3942
Reimbursement Check Number,Plan_Paid_Amount,0.4115
Reimbursement Check Date,Paid_Date,0.4971
Accumulator Integrated Flag,Total_Billed_Amount,0.2648
Subscriber Last Name,Prescriber_Name,0.5542
Subscriber First  Name,Prescriber_Name,0.5526
Subscriber Middle Initial ,Prescriber_Name,0.4952
Subscriber Gender Code,Prescriber_Name,0.3579
Subscriber Date of Birth ,Date_of_Birth,0.6078
Subscriber Address Line 1,Prescriber_Name,0.4984
Subscriber Address Line 2,Prescriber_Name,0.4782
Subscriber City,Patient_City,0.4738
Subscriber State,Patient_State,0.4218
Subscriber Zip,Patient_Zip_code,0.4863
Subscriber Zip Extension,Patient_Zip_code,0.38
Pharmacy Address Line 1,Pharmacy_Name,0.7143
Pharmacy City,Pharmacy_Type,0.6352
Pharmacy State,Pharmacy_Type,0.6743
Pharmacy Phone,Pharmacy_Name,0.6752
Pharmacy Federal Tax ID,Pharmacy_Type,0.5684
Total Amount Due to Pharmacy,Pharmacy_Type,0.5646
Pharmacy ID - National Provider Identifier (NPI),Pharmacy_Name,0.6114
Pharmacy ID - National Council for Prescription Drug Programs (NCPDP),Pharmacy_Type,0.6883
CMS Contract Identifier,Record ID,0.4126
CMS Plan Benefit Package (PBP) ID,Claim ID,0.4818
Covered Plan Paid (CPP) TrOOP Schedule Code,Plan_Paid_Amount,0.4763
Drug Coverage Status Schedule Code,Date_Prescription_Filled,0.4943
Drug Coverage Status Code,Patient_Zip_code,0.4992
Medicare Part D Profile Sequence Number,Patient_ID,0.3908
Covered Plan Paid (CPP) Amount,Plan_Paid_Amount,0.656
Prior TrOOP Amount,Days_Supply,0.3076
Submitted Other Payer Amount Paid,Plan_Paid_Amount,0.4992
Low Income Cost-Sharing Subsidy (LICS) Amount,Member_Deductible,0.277
Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Code,Patient_Zip_code,0.318
Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Step Number,Member_Deductible,0.2742
Low Income Cost-Sharing Subsidy (LICS) TrOOP Schedule Step Count,Plan_Paid_Amount,0.2819
Deductible Level Drug Spend - Medicare Part D ,Member_Deductible,0.445
Amount Toward Medicare Part D Plan Deductible,Plan_Paid_Amount,0.4565
Deductible Level TrOOP Amount,Member_Deductible,0.5857
Plan Coverage Gap Drug Spend - Medicare Part D,Plan_Paid_Amount,0.4447
Amount Toward Medicare Part D Plan Coverage Gap,Plan_Paid_Amount,0.3896
Plan TrOOP Catastrophic Amount,Plan_Paid_Amount,0.3948
Plan Paid Amount Catastrophic,Plan_Paid_Amount,0.6709
Plan Initial Coverage Amount,Plan_Paid_Amount,0.5172
Plan Paid Amount Initial Coverage,Plan_Paid_Amount,0.6568
Member Amount Toward  Medicare Part D Deductible,Member_Deductible,0.6681
Member Amount Toward Medicare Part D Coverage Gap,Member_Deductible,0.4567
Member Amount Toward Medicare Part D Catastrophic ,Member_Deductible,0.5385
Plan TrOOP Schedule Code,Plan_Paid_Amount,0.3248
Member Amount Toward Medicare Part D Initial Coverage,Member_Deductible,0.5099
Catastrophic Coverage Code,Plan_Paid_Amount,0.2181
Gross Drug Cost Above Out of Pocket Threshold (GDCA),Prescription_No,0.3916
Gross Drug Cost Below Out of Pocket Threshold (GDCB),Prescription_No,0.4093
Non-Covered Plan Paid (NPP) Amount,Plan_Paid_Amount,0.6584
Drug Spend Amount - Medicare Part D,Date_Prescription_Filled,0.4879
Filler,Prescription_No,0.2493
Pharmacy Dispenser Type (secondary),Pharmacy_Type,0.5804
Pharmacy Dispenser Type (tertiary),Pharmacy_Type,0.6022
Pharmacy Name,Pharmacy_Name,0.8276
Submitted Prescription Number (12 characters),Date_Prescription_Filled,0.67
Pharmacy Member Pay Schedule Table (13 characters) - Approved ,Pharmacy_Type,0.5755
Member Pay Schedule Table Used (13 characters) - Client ,Member_Total_Paid_Amount,0.6017
Reprocess Claim Sequence Nbr,Original_Claim,0.4442
Adjustment Sequence Nbr,NDC,0.2373
Original Adjustment Sequence,Formulary,0.173
SCA Claim Number,Claim ID,0.4755
SCA Sequence Number,Record Number,0.3521
Adjustment Reprocessing Reason Code,Formulary,0.237
Tracking ID,Record ID,0.6098
Formulary ID,Formulary,0.6484
Drug Cost Reduction Indicator,Pharmacy_Type,0.4213
Alternative Drug Cost,Prescription_No,0.3573
Drug Cost Percentage Applied,Total_Billed_Amount,0.4056
Grace Fill Applied/Qualified Flag,Status,0.2286
Grace Fill Diagnosis Program Status,Patient_State,0.4749
Newborn Coverage Indicator,Patient_State,0.2982
FlexAccess Claim Designation Flag,Claim ID,0.4484
FlexAccess Member Refused Flag ,Member_Other_Cost,0.2017
Future Use,Plan_Paid_Amount,0.31
Client Delta Schedule Name,Date_of_Service,0.3757
Client Delta Rate Schedule Name,Date_of_Service,0.349
Reserve Field 9,Patient_City,0.3175
Reserve Field 10,Patient_City,0.3066
Individual OOP Applied Amount,Plan_Paid_Amount,0.4304
Individual Deductible Applied Amount,Member_Deductible,0.5078
FlexAccess Standard Benefit Patient Pay,Plan_Paid_Amount,0.4068
Member Pay after Mfg Assistance,Member_Total_Paid_Amount,0.491
Coupon Transaction Type,Plan_Paid_Amount,0.282
Coupon Amount ,Plan_Paid_Amount,0.375
Client Defined Data,Patient_State,0.2592
Last byte contains '*',Original_Claim,0.1639
